Substation Name,Substation ID
Al Rothbauer,0
Amoco Empress,1
Anderson,2
Ardenville Wind Farm,3
Badlands,4
Bardo,5
Bassano,6
Battle River,7
Battle Sands,8
Bauer,9
Big Knife Creek,10
Big Valley,11
Bigfoot,12
Bindloss,13
Black Diamond,14
Blackie,15
Blackspring Ridge,16
Blue Trail,17
Bonnyville,18
Bowmanton,19
Bowron,20
Briker,21
Brooks,22
Buffalo Bird,23
Buffalo Creek,24
Bullpound,25
Bullshead,26
Burdett,27
Carseland,28
Cassils,29
Castle River,30
Castle Rock Ridge,31
Castor,32
Cavalier,33
Cavendish,34
Chappice Lake,35
Chestermere,36
Chin Chute,37
Chinook,38
Clipper,39
Coalbanks,40
Coaldale,41
Coleman,42
Conrad,43
Cordel,44
Coronation,45
Cowley Ridge,46
Coyote Lake,47
Cutting Lake,48
Cypress,49
Drywood,50
Duchess,51
East Stavely,52
Edgerton,53
Empress,54
Empress Liquids,55
Enchant,56
Excel,57
Fidler,58
Fincastle,59
Foothills,60
Fort Macleod,61
Garden City,62
Garden Plain,63
Ghost Pine,64
Gleichen,65
Glenwood,66
Goose Lake,67
Granlea,68
Granum,69
Grizzly Bear,70
HRT Express,71
Halkirk,72
Halsbury,73
Hanna,74
Hansman Lake,75
Hardisty,76
Hartell,77
Hays,78
Hayter,79
Heatburg,80
Heisler,81
High River,82
Highland,83
Hilda,84
Hill,85
Hillridge,86
Hughenden,87
Hull,88
Hussar,89
Irish Creek,90
Janet,91
Jarrow,92
Jenner,93
Kettle's Hill,94
Killarney Lake,95
Kitscoty,96
Lac La Biche,97
Lakesend,98
Lakeview,99
Lanfine,100
Langdon,101
Lindbergh,102
Little Bow,103
Lloydminster,104
Loyalist,105
Lundbreck,106
Macdonald,107
Magcan,108
Magrath,109
Mannix Mine,110
Marion Lake,111
McBride Lake,112
Metiskow,113
Michichi Creek,114
Milo,115
Monarch,116
Monitor,117
Namaka,118
Nevis,119
Newell,120
Nilrem,121
North Holden,122
North Lethbridge,123
Oakland,124
Okotoks,125
Oldman River,126
Oyen,127
Paintearth Creek,128
Peace Butte,129
Peigan,130
Pemukan,131
Picture Butte,132
Pincher Creek,133
Provost,134
Queenstown,135
Rangeland Yarrow,136
Rattlesnake Ridge,137
Raymond Reservoir,138
Red Deer,139
Ribstone Creek,140
Richdale,141
Riverbend,142
Rosyth,143
Rowley,144
Russell,145
Sand Hills Sub,146
Sandy Point,147
Sedalia,148
Sedgewick,149
Shamrock,150
Sheerness,151
Shell Waterton,152
Soderglen,153
Spring Coulee,154
St. Paul,155
Stavely,156
Stettler,157
Stirling,158
Strathmore,159
Strome,160
Suffield,161
Sullivan Lake,162
Summerview,163
Sunken Lake,164
Taber,165
Taber Wind Farm,166
Taylor Hydro Plant,167
Three Hills,168
Tilley,169
Tinchebray,170
Travers,171
Tucuman,172
Uplands,173
Vauxhall,174
Vegreville,175
Vermilion,176
Veteran,177
Vilna,178
Vulcan,179
Wainwright,180
Wardlow,181
Ware Junction,182
Warner,183
Waterton,184
Watt Lake,185
West Brooks,186
Westfield,187
Wheatland,188
Whitbylake,189
Whitla,190
Windrise,191
Windy Flats,192
Windy Point,193
Wintering Hills,194
Woolchester,195
Wyndham,196
Youngstown,197
Youngstown Express,198
na,199
